trade_no,etf_code,etf_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,entry_year,pnl_bucket
120,sh510300,沪深300ETF华泰柏瑞,2022-12-05,2022-12-30,3.6300,3.5930,-1.02,20,2022,-5~0%
121,sz159919,沪深300ETF嘉实,2023-01-03,2023-01-31,3.7620,4.0460,7.55,16,2023,5~10%
122,sh510330,沪深300ETF华夏,2023-01-03,2023-01-31,3.7470,4.0400,7.82,16,2023,5~10%
123,sh510300,沪深300ETF华泰柏瑞,2023-01-03,2023-01-31,3.5930,3.8840,8.10,16,2023,5~10%
124,sz159632,纳斯达克ETF,2023-02-06,2023-02-28,0.9850,0.9640,-2.13,17,2023,-5~0%
125,sh513300,纳斯达克ETF,2023-02-06,2023-02-28,1.0730,1.0520,-1.96,17,2023,-5~0%
126,sz159625,绿色电力ETF嘉实,2023-05-08,2023-07-21,1.0930,1.0760,-1.56,53,2023,-5~0%
127,sh512200,房地产ETF,2023-07-24,2023-07-31,1.7540,1.9580,11.63,6,2023,10~20%
128,sh510880,红利ETF华泰柏瑞,2023-02-06,2023-08-18,2.3760,2.6130,9.97,134,2023,5~10%
129,sz159859,生物医药ETF,2023-08-07,2023-08-31,0.4900,0.4700,-4.08,19,2023,-5~0%
130,sz159992,创新药ETF,2023-09-04,2023-09-28,0.8000,0.8460,5.75,19,2023,5~10%
131,sz159992,创新药ETF,2023-10-09,2023-10-31,0.8460,0.8800,4.02,17,2023,0~5%
132,sz159509,纳指科技ETF景顺,2023-11-06,2023-11-30,0.9540,1.0220,7.13,19,2023,5~10%
133,sh513110,纳斯达克100ETF,2023-05-08,2023-12-19,1.0640,1.3950,31.11,154,2023,> 30%
134,sh515220,煤炭ETF,2023-09-04,2024-03-06,0.9820,1.2670,29.02,120,2023,20~30%
135,sh513520,日经ETF,2023-12-25,2024-04-03,1.3150,1.5340,16.65,66,2023,10~20%
136,sh513040,港股通互联网ETF易方达,2024-04-08,2024-04-30,0.8770,1.0280,17.22,17,2024,10~20%
137,sh513040,港股通互联网ETF易方达,2024-05-06,2024-05-31,1.0280,0.9730,-5.35,20,2024,-10~-5%
138,sh513290,纳指生物科技ETF汇添富,2023-12-04,2024-07-17,1.0230,1.3060,27.66,150,2023,20~30%
139,sh588200,科创芯片ETF,2024-07-22,2024-07-31,1.0240,1.0100,-1.37,8,2024,-5~0%
140,sz159506,港股通医疗ETF富国,2024-08-05,2024-08-30,0.7070,0.7340,3.82,20,2024,0~5%
141,sz159506,港股通医疗ETF富国,2024-09-02,2024-09-30,0.7340,1.0430,42.10,19,2024,> 30%
142,sz159834,金ETF南方,2024-03-11,2024-11-15,5.1220,6.0070,17.28,167,2024,10~20%
143,sh588830,科创新能源ETF,2024-10-14,2024-12-13,1.1570,1.2900,11.50,45,2024,10~20%
144,sh513910,港股央企红利ETF,2024-06-03,2025-01-10,1.1490,1.2660,10.18,151,2024,10~20%
145,sh510880,红利ETF华泰柏瑞,2024-12-16,2025-01-10,3.0000,2.8550,-4.83,19,2024,-5~0%
146,sz159834,金ETF南方,2025-01-13,2025-04-22,6.3780,8.0800,26.69,65,2025,20~30%
147,sz159316,港股通创新药ETF易方达,2025-05-12,2025-06-10,0.9990,1.3050,30.63,21,2025,> 30%
148,sh513090,香港证券ETF易方达,2025-06-16,2025-07-21,1.6630,2.1930,31.87,26,2025,> 30%
149,sz159382,创业板人工智能ETF南方,2025-07-28,2025-08-25,1.2820,1.7160,33.85,21,2025,> 30%
150,sh588890,科创芯片ETF南方,2025-09-01,2025-11-07,2.4980,2.6830,7.41,44,2025,5~10%
151,sh513500,标普500ETF博时,2024-11-18,2025-12-19,2.0670,2.4700,19.50,267,2024,10~20%
152,sh563230,卫星ETF,2025-12-08,2025-12-31,1.0780,1.4820,37.48,18,2025,> 30%
153,sh512630,卫星ETF广发,2025-12-22,2026-01-06,1.2050,1.6060,33.28,10,2025,> 30%
154,sh563230,卫星ETF,2026-01-05,2026-01-12,1.4820,2.0050,35.29,6,2026,> 30%
155,sh513030,德国ETF,2025-01-13,2026-01-13,1.5190,1.9850,30.68,243,2025,> 30%
156,sz159100,巴西ETF,2026-01-19,2026-01-30,1.0190,1.3220,29.74,10,2026,20~30%
157,sh520870,巴西ETF易方达,2026-01-19,2026-02-25,1.0150,1.3200,30.05,22,2026,> 30%
158,sh563530,卫星ETF易方达,2026-01-12,2026-03-03,1.8300,1.5370,-16.01,31,2026,-20~-10%
159,sz159100,巴西ETF,2026-02-02,2026-03-03,1.3220,1.3080,-1.06,16,2026,-5~0%
160,sh513080,法国CAC40ETF,2026-03-02,2026-03-03,2.0050,1.8820,-6.13,2,2026,-10~-5%
