code,name,trades,wins,win_rate,annualized
000960,锡业股份,11,3,27.27,-10.37
000962,东方钽业,17,6,35.29,-1.86
000963,华东医药,13,6,46.15,7.24
000965,天保基建,9,2,22.22,-7.86
000966,长源电力,4,0,0.00,-32.27
000967,盈峰环境,5,0,0.00,-4.80
000968,蓝焰控股,8,1,12.50,-20.14
000969,安泰科技,13,6,46.15,17.44
000970,中科三环,8,4,50.00,7.49
000972,*ST中基,6,2,33.33,3.62
000973,佛塑科技,19,4,21.05,-7.15
000975,山金国际,13,5,38.46,5.84
000977,浪潮信息,20,9,45.00,-7.11
000978,桂林旅游,12,4,33.33,-2.12
000980,众泰汽车,6,2,33.33,-7.06
000981,山子高科,9,4,44.44,2.74
000983,山西焦煤,10,3,30.00,0.78
000985,大庆华科,14,3,21.43,-3.93
000987,越秀资本,7,3,42.86,6.04
000988,华工科技,22,8,36.36,-1.08
000989,九芝堂,15,3,20.00,-6.23
000990,诚志股份,6,2,33.33,-3.82
000993,闽东电力,9,5,55.56,7.57
000997,新 大 陆,14,4,28.57,-2.83
000998,隆平高科,14,4,28.57,-12.97
000999,华润三九,13,5,38.46,0.72
