stock_code,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
000811,2430,2015-07-21,2025-07-21,3,13,6,3,115.45,51.75,128.24
000812,2143,2015-11-26,2025-07-21,4,9,9,11,322.7,-38.35,95.89
000813,2300,2016-01-15,2025-07-21,9,14,12,13,41.64,19.64,58.16
000815,2419,2015-07-21,2025-07-21,3,8,5,10,31.09,134.21,160.35
000816,2417,2015-07-21,2025-07-21,3,9,4,13,174.09,32.95,203.58
000818,2231,2015-09-17,2025-07-21,11,4,11,9,228.39,-16.34,186.9
000819,2430,2015-07-21,2025-07-21,3,5,7,8,-12.07,86.23,76.37
000820,2213,2015-09-11,2025-07-21,12,14,14,9,239.01,-29.92,205.68
000821,2285,2015-07-21,2025-07-21,4,6,12,6,50.78,74.24,114.5
000822,2430,2015-07-21,2025-07-21,11,12,12,3,227.23,-14.0,126.82
000823,2430,2015-07-21,2025-07-21,15,13,4,13,84.56,3.45,82.64
000825,2322,2015-07-21,2025-07-21,14,10,3,7,330.93,-24.69,70.62
000826,2389,2015-07-21,2025-07-21,5,5,10,15,26.2,17.98,48.05
000828,2430,2015-07-21,2025-07-21,5,2,10,12,48.82,4.6,57.61
000829,2191,2015-07-21,2025-07-21,10,10,13,8,130.43,7.95,115.07
000830,2420,2015-07-21,2025-07-21,11,8,2,11,206.37,-48.99,150.81
000831,2428,2015-07-21,2025-07-21,5,2,5,12,251.27,37.46,245.92
000833,2365,2015-07-21,2025-07-21,3,4,15,12,57.77,139.95,176.57
000837,2428,2015-07-21,2025-07-21,5,2,14,15,64.44,90.0,143.36
000838,2322,2015-07-21,2025-07-21,13,3,8,6,108.73,61.8,157.12
000839,2321,2015-12-28,2025-07-21,5,7,13,15,53.66,20.28,25.81
000848,2430,2015-07-21,2025-07-21,12,9,2,3,56.53,-29.45,-83.29
000850,2341,2015-12-02,2025-07-21,13,12,3,12,12.37,-40.47,-34.94
000851,2325,2015-07-21,2025-07-21,8,4,13,14,23.69,67.2,85.2
000852,2430,2015-07-21,2025-07-21,3,5,14,8,-5.67,35.48,29.81
000856,2419,2015-07-21,2025-07-21,3,6,2,12,145.23,22.32,166.36
000858,2370,2015-07-21,2025-07-21,14,13,6,11,243.5,-30.69,221.98
000859,2411,2015-07-21,2025-07-21,3,5,11,15,104.36,78.74,171.06
000860,2430,2015-07-21,2025-07-21,3,5,3,2,113.1,-14.59,101.04
000862,2251,2015-08-18,2025-07-21,10,6,7,8,136.94,-27.66,35.18
000863,2414,2015-07-24,2025-07-21,4,4,3,10,41.6,8.24,48.0
000868,2416,2015-07-21,2025-07-21,3,3,12,14,65.42,51.69,114.17
000869,2430,2015-07-21,2025-07-21,12,2,15,8,91.39,-43.5,47.67
000875,2416,2015-07-21,2025-07-21,3,6,12,9,61.43,-52.58,1.31
000876,2295,2015-07-21,2025-07-21,10,11,11,15,129.27,-56.03,58.03
000877,2398,2015-07-21,2025-07-21,4,4,15,15,146.2,-9.13,136.06
000878,2369,2015-09-08,2025-07-21,4,6,15,3,13.37,24.74,38.12
000880,2420,2015-07-21,2025-07-21,3,14,5,15,-20.26,199.8,174.76
000881,2318,2015-12-15,2025-07-21,15,14,3,14,16.5,-0.36,10.8
000882,2353,2015-10-28,2025-07-21,4,2,13,2,-27.35,16.56,-11.34
000883,2430,2015-07-21,2025-07-21,4,2,7,5,39.24,9.94,47.42
000885,2356,2015-07-21,2025-07-21,12,6,10,11,56.42,-6.05,54.77
000886,2430,2015-07-21,2025-07-21,6,13,6,12,65.28,43.4,110.12
