seq,asset_code,asset_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,reason
191,sz159506,港股通医疗ETF富国,2024-08-05,2024-08-06,0.7070,0.7150,1.13,2,区间切换
192,sh513200,港股通医药ETF易方达,2024-08-05,2024-08-06,0.5930,0.6000,1.18,2,区间切换
193,sz159570,港股通创新药ETF,2024-08-05,2024-08-06,0.8060,0.8190,1.61,2,区间切换
194,600030,中信证券,2024-08-06,2024-09-27,19.3200,23.4000,21.12,36,区间切换
195,sh510500,中证500ETF,2024-09-30,2024-09-30,5.6360,6.4420,14.30,1,MACD卖出
196,sh510330,沪深300ETF华夏,2024-09-30,2024-10-08,4.0740,4.6260,13.55,2,区间切换
197,sz159919,沪深300ETF嘉实,2024-09-30,2024-10-08,4.1310,4.6250,11.96,2,区间切换
198,513100,纳指ETF,2024-10-08,2024-10-18,1.3900,1.4610,5.11,8,区间切换
199,sh588830,科创新能源ETF,2024-10-21,2024-10-21,1.1890,1.1890,0.00,1,区间切换
200,sh513310,中韩半导体ETF,2024-10-21,2024-10-21,1.4900,1.4900,0.00,1,区间切换
201,sh513360,教育ETF博时,2024-10-21,2024-10-21,0.5230,0.5230,0.00,1,区间切换
202,513100,纳指ETF,2024-10-21,2025-01-13,1.4640,1.6130,10.18,59,区间切换
203,513100,纳指ETF,2025-01-15,2025-04-08,1.6030,1.3060,-18.53,52,区间切换
204,513100,纳指ETF,2025-04-11,2025-07-21,1.3720,1.6620,21.14,67,回测结束
