stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end,timeframe,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
002127,南极电商,-18.7143,-9.48812,-43.3792,2,0,-65.5485,2019-11-07,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002859,洁美科技,-28.9593,-9.52091,-39.242,2,0,-20.957,2020-07-27,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002959,小熊电器,-1.77156,-9.52767,-29.9786,2,0,-24.254,2021-12-31,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000889,中嘉博创,-13.9868,-9.53292,-43.0412,2,0,-58.7429,2019-12-09,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600881,亚泰集团,-11.3742,-9.55662,-45.1978,3,0,-40.7524,2019-07-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600807,济高发展,-35.1273,-9.62624,-41.9725,3,0,-3.3033,2020-03-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601111,中国国航,-3.84368,-9.62795,-45.4863,3,0,-17.8414,2019-07-22,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600200,*ST苏吴,-10.1853,-9.65359,-44.4171,2,0,-63.8384,2019-10-08,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002548,金新农,8.89736,-9.6536,-45.4578,2,0,-66.6387,2019-07-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002664,信质集团,-0.878391,-9.67334,-43.5361,5,20,33.8076,2019-12-09,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601238,广汽集团,-4.66357,-9.6747,-45.6096,3,0,-31.5044,2019-07-25,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002863,今飞凯达,-26.9133,-9.69767,-39.7636,3,33.3333,-10.9428,2020-07-31,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002470,金正大,-20.5835,-9.71933,-44.7745,2,0,-42.2442,2019-09-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002479,富春环保,-21.1214,-9.73954,-45.7517,3,0,-9.61857,2019-07-31,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600585,海螺水泥,26.8266,-9.74499,-45.9839,2,0,-39.3865,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000546,金圆股份,-3.45699,-9.77034,-45.8011,4,25,-35.1528,2019-08-05,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000068,华控赛格,-22.4572,-9.77277,-46.0382,3,0,-23.702,2019-07-17,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002519,银河电子,-23.7365,-9.77767,-46.0253,5,20,18.6636,2019-07-22,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600617,国新能源,-16.5515,-9.79535,-46.1647,2,0,-47.8261,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002514,宝馨科技,-22.3873,-9.79551,-44.5772,3,33.3333,2.10896,2019-10-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002355,兴民智通,2.75217,-9.82976,-44.9477,5,20,-13.9597,2019-10-14,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002780,三夫户外,-6.64107,-9.83507,-44.8571,3,0,-29.8282,2019-10-21,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000603,盛达资源,-7.24755,-9.86459,-44.9295,4,25,19.6981,2019-10-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600661,昂立教育,-4.88558,-9.91151,-46.381,1,0,-45.3398,2019-07-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002039,黔源电力,-6.4399,-9.91162,-46.5802,4,25,20.0148,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
